id,Cosine_Sim_1_2,Cosine_Sim_1_s,Cosine_Sim_2_s,Jaccard_Sim_1_2,Jaccard_Sim_1_s,Jaccard_Sim_2_s,BLEU_Sim_1_2,BLEU_Sim_1_s,BLEU_Sim_2_s,ROUGE_L_Sim_1_2,ROUGE_L_Sim_1_s,ROUGE_L_Sim_2_s,BLEURT_Sim_1_2,BLEURT_Sim_1_s,BLEURT_Sim_2_s
1i7s0u,0.6156369610722461,0.14718113065202923,0.1584376787450073,0.2603550295857988,0.09446254071661238,0.10810810810810811,6.937001288798169e-232,8.46857873989499e-232,8.210872628356978e-232,0.22747747747747749,0.06824925816023739,0.10687022900763359,0.48289817571640015,0.38639652729034424,0.4130043387413025
1i7qst,0.595061905468535,0.27643884474217506,0.5023459362130394,0.24726477024070023,0.10625,0.10324483775811209,6.366011072962468e-232,8.859356091588541e-232,8.793482704093802e-232,0.19152854511970532,0.0881057268722467,0.08240887480190175,0.4926179051399231,0.4487254023551941,0.4498264789581299
1i7hzo,0.4547535699064099,0.24352591976524696,0.29315513586388153,0.18225419664268586,0.07829181494661921,0.08280254777070063,6.509495155441608e-232,9.405151100769922e-232,9.526532993147009e-232,0.14769230769230768,0.05815831987075929,0.07692307692307693,0.453371524810791,0.4414862394332886,0.43519043922424316
1iawxh,0.424313093035461,0.17006017680232624,0.2217522382946626,0.17060367454068243,0.06896551724137931,0.0859106529209622,7.104354176555052e-232,8.187294696958976e-232,8.324944499279178e-232,0.14457831325301204,0.07336523125996809,0.0979955456570156,0.3926333785057068,0.4153638482093811,0.40574657917022705
1i9v7i,0.39332358125459693,0.21634262324962794,0.20374479252194255,0.15422885572139303,0.09657320872274143,0.1276595744680851,7.150224242886147e-232,8.589594020248012e-232,8.474271303298326e-232,0.13157894736842107,0.07581227436823106,0.11111111111111112,0.4990299344062805,0.4196653366088867,0.467124342918396
1i99v4,0.2662276414226072,0.059905186567081645,0.09887517719246398,0.11320754716981132,0.04017857142857143,0.07792207792207792,7.866254025587437e-232,1.011682754684905e-231,1.0276196696831162e-231,0.12284069097888677,0.0396039603960396,0.06694560669456066,0.4630436301231384,0.4354513883590698,0.38350439071655273
1idgsp,0.3455724933294797,0.09174863096009377,0.11839479054780487,0.15544041450777202,0.05474452554744526,0.06746031746031746,7.193278215719703e-232,1.0174978910261782e-231,1.0174978910261782e-231,0.12362637362637362,0.04175365344467641,0.05361930294906166,0.42587363719940186,0.40852469205856323,0.472089946269989
1icpya,0.4931847438433863,0.11565791160655345,0.25036076581070227,0.17088607594936708,0.06545454545454546,0.12992125984251968,7.264393464823182e-232,8.319100378795605e-232,8.255347785518201e-232,0.17210682492581605,0.07858546168958742,0.11401425178147268,0.49606597423553467,0.3566255569458008,0.39497119188308716
1ib0nw,0.43005813752113337,0.11215909380083186,0.18934059189639482,0.16091954022988506,0.05434782608695652,0.07894736842105263,7.100133146590771e-232,9.017769116950748e-232,8.962272517882097e-232,0.1349862258953168,0.0558659217877095,0.08192771084337348,0.49898672103881836,0.389646053314209,0.43354910612106323
1iedku,0.3859568002590254,0.09409922058894767,0.12292036967768741,0.17559523809523808,0.08214285714285714,0.09230769230769231,7.064138716043753e-232,8.211807549470508e-232,8.341167151867151e-232,0.15492957746478872,0.10200364298724954,0.09799554565701561,0.4514915943145752,0.41647106409072876,0.4123919606208801
1igc17,0.474648487801177,0.15902825211115376,0.19340438006842875,0.17434210526315788,0.029411764705882353,0.054187192118226604,7.094935079262333e-232,1.016596322135902e-231,1.009255796388029e-231,0.14767255216693417,0.06265060240963854,0.07228915662650602,0.4076516628265381,0.383719265460968,0.475493848323822
1ig8zs,0.48512810621860414,0.09386557078944996,0.10182052046907815,0.18962075848303392,0.01644736842105263,0.022151898734177215,6.4714089046651e-232,1.2589991813619355e-231,1.28254206644474e-231,0.16760828625235402,0.013888888888888888,0.01915708812260536,0.45035475492477417,0.4017195701599121,0.40507179498672485
1immti,0.545126582043889,0.26551942251252847,0.29363583263558185,0.21005917159763313,0.08888888888888889,0.11913357400722022,7.36256082349178e-232,8.479237507072189e-232,8.284182083015693e-232,0.16500711237553342,0.08495575221238937,0.1282051282051282,0.41705358028411865,0.38773590326309204,0.3965386152267456
1ipc5a,0.47381088046587544,0.05179077600493253,0.13835164258045668,0.16756756756756758,0.02510460251046025,0.05045871559633028,6.835777322095586e-232,1.2211172583579624e-231,1.2347631444935441e-231,0.162227602905569,0.015968063872255488,0.048780487804878044,0.3972574472427368,0.4331555962562561,0.4556911587715149
1iogy6,0.6204313460152004,0.1274965354478602,0.13318070590636516,0.24761904761904763,0.09302325581395349,0.08,7.66927589446512e-232,1.0714126117246195e-231,1.0714126117246195e-231,0.26603325415676954,0.09473684210526316,0.06557377049180328,0.5746422410011292,0.4277080297470093,0.5405543446540833
1itgvj,0.4866130051519071,0.1356885351434278,0.2375705916295877,0.225,0.023474178403755867,0.025380710659898477,7.262281912922169e-232,1.3040392114580104e-231,1.3192937256748264e-231,0.1697530864197531,0.025974025974025972,0.04095563139931741,0.4803028106689453,0.47252726554870605,0.47800135612487793
1iz1h4,0.7158870730272173,0.3228834302471986,0.3220031016087537,0.16606498194945848,0.10047846889952153,0.11666666666666667,7.357444116139114e-232,9.103475601278665e-232,9.103475601278665e-232,0.18117229129662527,0.14043583535108958,0.1518987341772152,0.442476749420166,0.5200098156929016,0.5374869108200073
1j1b2q,0.549275139350912,0.1720499646756269,0.3386129618017681,0.15137614678899083,0.08201892744479496,0.12573099415204678,6.603822894837008e-232,8.369591029796301e-232,8.472304612989358e-232,0.1518987341772152,0.09179415855354658,0.10937500000000001,0.4316551685333252,0.4060940146446228,0.37602025270462036
1j0ctm,0.42702803632527403,0.17767837712395473,0.2399580630310101,0.1375,0.08403361344537816,0.09574468085106383,7.914002075970769e-232,9.77391721697101e-232,9.77391721697101e-232,0.15304347826086953,0.07281553398058252,0.07829181494661921,0.5230554938316345,0.3977329432964325,0.42838239669799805
1j54i6,0.2540600894539446,0.11236050749105754,0.046870225413689945,0.11869436201780416,0.035398230088495575,0.03932584269662921,7.406660532674396e-232,1.1877222897067344e-231,1.1877222897067344e-231,0.11746987951807229,0.03139013452914798,0.04615384615384615,0.442219078540802,0.3822287321090698,0.4450564980506897
1j4vi3,0.6185254937263228,0.2672139559378434,0.3056772202167096,0.15789473684210525,0.08035714285714286,0.10576923076923077,7.199666163340923e-232,9.566748922794947e-232,9.63841497139737e-232,0.1503957783641161,0.0711743772241993,0.1206896551724138,0.451529860496521,0.4176865220069885,0.406694233417511
1j7sam,0.4602812008369117,0.14743145478246472,0.19347403695758913,0.17699115044247787,0.038135593220338986,0.07537688442211055,7.286187778658262e-232,1.0867983050981802e-231,1.0960484863892048e-231,0.14605067064083457,0.038929440389294405,0.06134969325153374,0.4159729480743408,0.3445780873298645,0.43446534872055054
